0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:21 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:21 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:22 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:22 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:22 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:22 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:22 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:23 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:23 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:23 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:23 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:23 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:29 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:29 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:29 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 607
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:29 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:29 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:36 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:36 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:36 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 605
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:36 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:36 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:47 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:47 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:47 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:47 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:25:47 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:26:05 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:26:05 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:26:05 +0200] "GET /COMPET-BLOC/boostrap/dist/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:26:05 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 608
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:26:05 +0200] "GET /COMPET-BLOC/boostrap/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:26:12 +0200] "GET /COMPET-BLOC/index.jsp HTTP/1.1" 200 1789
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:26:12 +0200] "GET /COMPET-BLOC/boostrap/dist/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2015:11:26:12 +0200] "GET /COMPET-BLOC/inc/css/tuto.css HTTP/1.1" 200 607
